Absolute Frequency,Frequency change,Thickness[nm],Timestamp
1.0,-3999999.0,-79999980.0,2024-10-30 21:37:12.380474
0.7180462709510695,-3999999.281953729,-79999985.63907458,2024-10-30 21:37:12.488775
0.21968439104310197,-3999999.780315609,-79999995.60631219,2024-10-30 21:37:12.597093
-0.5325971281766811,-4000000.5325971283,-80000010.65194257,2024-10-30 21:37:12.708100
-0.9125264529270201,-4000000.912526453,-80000018.25052905,2024-10-30 21:37:12.815448
-0.9387803271391937,-4000000.9387803273,-80000018.77560654,2024-10-30 21:37:12.925958
-0.513520565452142,-4000000.5135205653,-80000010.2704113,2024-10-30 21:37:13.032901
0.14185354335008427,-3999999.8581464565,-79999997.16292913,2024-10-30 21:37:13.145791
0.7299753420931268,-3999999.2700246577,-79999985.40049314,2024-10-30 21:37:13.252478
0.9977448375166336,-3999999.0022551627,-79999980.04510325,2024-10-30 21:37:13.362361
0.8216339968383809,-3999999.178366003,-79999983.56732006,2024-10-30 21:37:13.471511
0.1785933645138101,-3999999.8214066355,-79999996.4281327,2024-10-30 21:37:13.580816
-0.4860924581375761,-4000000.486092458,-80000009.72184916,2024-10-30 21:37:13.689949
-0.9276537085668126,-4000000.9276537085,-80000018.55307417,2024-10-30 21:37:13.800839
-0.9528920954184218,-4000000.9528920953,-80000019.0578419,2024-10-30 21:37:13.907971
-0.6350519507266362,-4000000.635051951,-80000012.70103902,2024-10-30 21:37:14.019687
-0.013982138783074942,-4000000.0139821386,-80000000.27964276,2024-10-30 21:37:14.127407
0.6286205376747387,-3999999.3713794625,-79999987.42758925,2024-10-30 21:37:14.237005
0.978990043955268,-3999999.021009956,-79999980.42019911,2024-10-30 21:37:14.347232
0.8896517863714773,-3999999.1103482135,-79999982.20696427,2024-10-30 21:37:14.458606
0.21198319436096236,-3999999.7880168054,-79999995.7603361,2024-10-30 21:37:14.569232
-0.35662233239428337,-4000000.3566223322,-80000007.13244665,2024-10-30 21:37:14.674602
-0.8643866826376013,-4000000.864386683,-80000017.28773366,2024-10-30 21:37:14.784953
-0.9983655988098499,-4000000.9983655987,-80000019.96731196,2024-10-30 21:37:14.892317
-0.5887890045871413,-4000000.5887890044,-80000011.77578008,2024-10-30 21:37:15.003030
-0.026359245337044864,-4000000.026359245,-80000000.5271849,2024-10-30 21:37:15.115485
0.5288860081185563,-3999999.471113992,-79999989.42227983,2024-10-30 21:37:15.222008
0.9488308625224082,-3999999.0511691375,-79999981.02338274,2024-10-30 21:37:15.331253
